page_name,page_path,meta_title,meta_description,canonical_url,indexing,link_following,archiving,redirect_from_urls
Home,/,Grander Construction | Custom Homes and Outdoor Living,"Grander Construction designs and builds custom homes, barndominiums, and outdoor living spaces across Upstate South Carolina and nearby North Carolina.",https://grandercon.com/,index,follow,archive,
About Our Company,/about-our-company/,About Our Company | Grander Construction,"Learn how Grander Construction blends integrity, innovation, and detailed craftsmanship to build custom homes and outdoor spaces across Upstate South Carolina.",https://grandercon.com/about-our-company/,index,follow,archive,https://grandercon.com/about/
Our Build Process,/build-process/,Our Build Process | Grander Construction,See how Grander Construction guides you from first conversation to final walkthrough with a transparent build process for custom homes and outdoor projects.,https://grandercon.com/build-process/,index,follow,archive,
Custom Homes,/custom-homes/,Custom Homes | Grander Construction,"Grander Construction builds custom homes and barndominiums across Upstate South Carolina, combining timeless design, smart layouts, and high quality finishes.",https://grandercon.com/custom-homes/,index,follow,archive,https://grandercon.com/barndominiums-custom-homes/
"Garages, Pool Houses and ADUs",/garages-pool-houses-adus/,"Garages, Pool Houses and ADUs | Grander Construction","Design custom garages, pool houses, pavilions, and ADUs with Grander Construction to add function and value to your Upstate South Carolina home.",https://grandercon.com/garages-pool-houses-adus/,index,follow,archive,https://grandercon.com/pool-houses-garages/
"Outdoor Spaces, Decks and Patios",/outdoor-spaces-decks-patios/,"Outdoor Spaces, Decks and Patios | Grander Construction","Grander Construction designs and builds outdoor living spaces, patios, and decks that extend your home for relaxing and entertaining in Upstate South Carolina.",https://grandercon.com/outdoor-spaces-decks-patios/,index,follow,archive,https://grandercon.com/outdoor-coverings-decks/
Sunrooms and Additions,/sunrooms-and-additions/,Sunrooms and Additions | Grander Construction,"Add value and year round comfort with custom sunrooms and home additions from Grander Construction, bringing more natural light and livable space to your home.",https://grandercon.com/sunrooms-and-additions/,index,follow,archive,https://grandercon.com/sunrooms-screen-porches/
Our Team,/our-team/,Our Team | Grander Construction,"Meet the Grander Construction team behind your custom home and outdoor living projects, combining experience, design expertise, and clear communication.",https://grandercon.com/our-team/,index,follow,archive,
Request an Estimate,/request-an-estimate/,Request an Estimate | Grander Construction,"Share your project details to receive a clear, no obligation estimate from Grander Construction for custom homes, additions, and outdoor living spaces.",https://grandercon.com/request-an-estimate/,index,follow,archive,
Contact,/contact/,Contact Grander Construction | Upstate South Carolina,"Contact Grander Construction to discuss your custom home, barndominium, addition, or outdoor living project in Greenville, Greer, and Upstate South Carolina.",https://grandercon.com/contact/,index,follow,archive,
Project Gallery,/gallery/,Project Gallery | Grander Construction,"Browse photos of custom homes, garages, pool houses, sunrooms, and outdoor living spaces crafted by Grander Construction in Upstate South Carolina.",https://grandercon.com/gallery/,index,follow,archive,
All Things Construction Blog,/blog/,All Things Construction Blog | Grander Construction,"Explore construction tips, design inspiration, and project spotlights from Grander Construction to help you plan your next custom home or outdoor living space.",https://grandercon.com/blog/,index,follow,archive,
Accessibility Statement,/accessibility/,Accessibility Statement | Grander Construction,Learn how Grander Construction works to keep its website accessible and usable for all visitors and how to contact us if you need help with online content.,https://grandercon.com/accessibility/,noindex,follow,noarchive,
Privacy Policy,/privacy-policy/,Privacy Policy | Grander Construction,"Review how Grander Construction collects, uses, and protects information on our website, including how to contact us with privacy related questions.",https://grandercon.com/privacy-policy/,noindex,follow,noarchive,
Luxury Barndominium Retreat (Project),/projects/luxury-barndominium-retreat/,Luxury Barndominium Retreat | Grander Construction,"Tour this luxury barndominium retreat by Grander Construction and see how open layouts, warm finishes, and thoughtful details create a comfortable modern home.",https://grandercon.com/projects/luxury-barndominium-retreat/,index,follow,archive,https://grandercon.com/bardomonium/luxury-barndominium-retreat/
Custom Pool Houses (Project),/projects/custom-pool-houses/,Custom Pool Houses Project | Grander Construction,"View custom pool house designs that enhance outdoor living with covered spaces, storage, and entertaining areas crafted by Grander Construction.",https://grandercon.com/projects/custom-pool-houses/,index,follow,archive,
Luxury Outdoor Living (Project),/projects/luxury-outdoor-living/,Luxury Outdoor Living Project | Grander Construction,"Explore this luxury outdoor living project by Grander Construction featuring custom patios, gathering areas, and details that extend living space outdoors.",https://grandercon.com/projects/luxury-outdoor-living/,index,follow,archive,
Barndominium Category,/category/bardomonium/,Barndominium Resources | Grander Construction,"Browse barndominium articles and projects from Grander Construction, including design ideas, real builds, and tips for planning your own barndominium.",https://grandercon.com/category/bardomonium/,index,follow,archive,
